Lang	lemma
ang_large	68.705
ang_small	58.037
ara_large	50.783
ara_small	47.568
asm_large	83.333
asm_small	56.452
bra_small	72.603
ckt_small	100.0
evn_large	0
evn_small	0.0
gml_small	0
goh_small	87.437
got_large	87.574
got_small	71.292
guj_small	92.647
heb_large	0
heb_small	20.482
hsb_small	100.0
hsi_small	0
hun_large	73.121
hun_small	47.313
itl_small	61.247
kat_large	96.739
kat_small	94.73
ket_small	42.857
khk_large	88.235
khk_small	55.584
kor_large	59.036
kor_small	59.358
krl_large	20.833
krl_small	8.886
lud_large	93.396
lud_small	95.909
mag_small	80.952
nds_small	26.415
non_large	80.328
non_small	60.755
pol_large	86.262
pol_small	68.123
poma_large	47.831
poma_small	42.245
sjo_small	91.379
slk_large	92.373
slk_small	82.739
tur_large	66.667
tur_small	31.983
vep_large	60.377
vep_small	40.385
_LARGE	5.428
TOTAL	15.792
