Lang		lemma
ang_large	43.118	68.705
ang_small	33.215	58.037
ara_large	26.917	50.783
ara_small	22.757	47.568
asm_large	31.859	83.333
asm_small	26.231	56.452
bra_small	57.902	72.603
ckt_small	13.043	100.0
evn_large	25.072	0
evn_small	25.014	0.0
gml_small	22.067	0
goh_small	42.568	87.437
got_large	46.038	87.574
got_small	38.816	71.292
guj_small	48.429	92.647
heb_large	20.35	0
heb_small	14.75	20.482
hsb_small	10.0	100.0
hsi_small	20.0	0
hun_large	37.25	73.121
hun_small	23.9	47.313
itl_small	28.163	61.247
kat_large	45.5	96.739
kat_small	43.6	94.73
ket_small	32.847	42.857
khk_large	38.03	88.235
khk_small	28.182	55.584
kor_large	32.332	59.036
kor_small	28.87	59.358
krl_large	5.361	20.833
krl_small	5.411	8.886
lud_large	89.372	93.396
lud_small	88.715	95.909
mag_small	55.814	80.952
nds_small	16.053	26.415
non_large	37.318	80.328
non_small	30.638	60.755
pol_large	43.6	86.262
pol_small	30.1	68.123
poma_large	24.462	47.831
poma_small	22.311	42.245
sjo_small	67.905	91.379
slk_large	47.45	92.373
slk_small	38.45	82.739
tur_large	36.4	66.667
tur_small	16.6	31.983
vep_large	32.413	60.377
vep_small	21.325	40.385
_LARGE		5.428
TOTAL		15.792
