  Training steps     Dev form acc    Dev lemma acc   Train form acc  Train lemma acc
            2000     + 0.75700000     + 0.01388889     + 0.90728571     + 0.28800000
            4000     + 0.84200000     + 0.13888889     + 0.94800000     + 0.47000000
            6000       0.81000000       0.05555556       0.93885714       0.40800000
            8000     + 0.84300000       0.12500000     + 0.95928571     + 0.55400000
           10000     + 0.85000000     + 0.15277778     + 0.96257143     + 0.59000000
           12000     + 0.86100000       0.09722222     + 0.96342857       0.58800000
           14000     + 0.86200000       0.13888889       0.96271429     + 0.60400000
           16000     + 0.86200000       0.12500000     + 0.96814286     + 0.62800000
           18000       0.85900000       0.13888889     + 0.97100000     + 0.66400000
           20000       0.86200000       0.13888889     + 0.97100000     + 0.66400000
           22000     + 0.87300000     + 0.18055556     + 0.97585714     + 0.70800000
           24000     + 0.87300000       0.15277778     + 0.97600000     + 0.71000000
           26000       0.85700000       0.13888889       0.97014286       0.65000000
           28000       0.87100000       0.12500000       0.97514286       0.69000000
           30000       0.86600000       0.15277778     + 0.97871429     + 0.73200000
           32000       0.87000000       0.15277778     + 0.98271429     + 0.77400000
           34000       0.86900000       0.16666667       0.97885714       0.73600000
           36000       0.87200000       0.16666667       0.97757143       0.72400000
           38000     + 0.87400000     + 0.18055556       0.98157143       0.76800000
           40000       0.86800000     + 0.19444444       0.98157143       0.77000000
           42000       0.86900000       0.15277778       0.98128571       0.76600000
           44000       0.87200000     + 0.19444444     + 0.98471429     + 0.80600000
           46000       0.86800000       0.16666667       0.98428571       0.79200000
           48000       0.85100000       0.15277778       0.98071429       0.75600000
           50000     + 0.88500000       0.18055556     + 0.98528571       0.80200000
           52000       0.88000000     + 0.19444444     + 0.98885714     + 0.85600000
           54000       0.87800000     + 0.19444444       0.98871429       0.85000000
           56000       0.87700000     + 0.19444444     + 0.99228571     + 0.89600000
           58000       0.87200000       0.18055556     + 0.99257143     + 0.90000000
           60000       0.87400000    !! 0.23611111       0.99214286       0.89800000
           62000       0.88100000       0.20833333     + 0.99585714     + 0.94200000
           64000       0.88000000       0.19444444     + 0.99614286     + 0.94600000
           66000       0.88400000    !! 0.23611111     + 0.99671429     + 0.95400000
           68000       0.87900000       0.19444444     + 0.99785714     + 0.97000000
           70000       0.88400000       0.22222222       0.99714286       0.96000000
           72000       0.88400000       0.20833333     + 0.99842857     + 0.97800000
           74000       0.88100000       0.20833333     + 0.99885714     + 0.98400000
           76000       0.88100000       0.19444444     + 0.99942857     + 0.99200000
           78000    !! 0.88700000       0.20833333     + 0.99942857     + 0.99200000
           80000       0.88500000       0.20833333       0.99928571       0.99000000
           82000       0.88600000       0.20833333     + 0.99971429     + 0.99600000
           84000       0.88600000       0.20833333     + 0.99971429     + 0.99600000
           86000       0.88500000       0.20833333    !! 1.00000000    !! 1.00000000
           88000       0.88500000       0.22222222       0.99985714       0.99800000
           90000       0.88300000       0.22222222    !! 1.00000000    !! 1.00000000
           92000       0.88200000       0.20833333    !! 1.00000000    !! 1.00000000
           94000       0.88200000       0.20833333    !! 1.00000000    !! 1.00000000
           96000       0.88300000       0.19444444    !! 1.00000000    !! 1.00000000
           98000       0.88300000       0.18055556    !! 1.00000000    !! 1.00000000
